MSSubClass,MSZoning,Neighborhood,OverallQual,YearRemodAdd,RoofStyle,BsmtQual,BsmtExposure,HeatingQC,CentralAir,1stFlrSF,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,PavedDrive,SaleCondition
160,4,18,8,9,0,3,1,4,1,6.890609120147166,7.461065514354283,1,2,0,1,4,3,2,2,0
60,3,14,7,2,0,3,1,4,1,6.756932389247553,7.450079569807499,0,2,0,1,4,2,2,2,3
60,3,20,10,0,2,4,4,4,1,7.262628600974241,7.987864096085687,0,2,1,4,5,3,3,2,4
20,3,14,5,36,0,2,3,4,1,6.659293919683638,6.659293919683638,0,1,0,1,2,1,1,2,3
20,3,10,6,2,0,3,1,4,1,7.05444965813294,7.05444965813294,1,2,0,1,2,1,2,2,4
75,1,0,5,11,0,2,1,2,0,6.364750756851911,7.01301578963963,0,0,0,1,2,1,1,0,3
120,3,21,8,1,0,3,2,4,1,7.222566018822171,7.222566018822171,0,2,1,4,4,2,2,2,3
70,1,4,7,60,0,2,1,3,1,6.804614520062624,7.444248649496705,0,1,0,1,2,1,2,2,3
60,3,14,7,11,0,3,1,4,1,6.963189985870238,7.617759576608505,1,2,0,1,4,2,2,2,3
60,3,21,8,2,0,4,3,4,1,7.04141166379481,7.813187267521416,0,2,1,4,5,2,3,2,3
20,3,8,7,21,0,3,4,2,1,7.699389406256737,7.699389406256737,1,1,1,4,4,2,2,2,3
20,3,14,7,4,0,3,3,4,1,7.2991214627108,7.2991214627108,1,2,0,1,4,2,2,2,3
30,1,4,4,60,0,2,1,2,1,6.616065185132817,6.616065185132817,0,1,0,1,4,1,1,2,3
50,3,17,7,53,0,2,1,2,1,7.1731917424865985,7.734996194022781,0,1,1,3,4,3,2,2,3
20,3,8,7,34,0,3,4,4,1,7.706612913964197,7.706612913964197,1,1,2,4,4,3,2,2,3
20,3,9,4,1,0,2,1,2,1,6.739336627357174,6.739336627357174,1,1,0,1,2,1,2,2,3
60,3,13,7,11,0,3,1,3,1,6.785587645007929,7.4489161025442,0,1,1,3,4,3,2,2,3
20,3,8,5,7,0,2,1,3,1,6.990256500493881,6.990256500493881,1,1,0,1,4,1,2,2,3
50,1,4,3,60,1,1,1,3,0,6.733401891837359,7.380879035564116,0,1,0,1,2,1,1,2,3
180,1,1,4,36,0,3,4,2,1,6.26530121273771,6.895682697747868,1,1,0,1,5,1,1,2,3
20,3,8,4,52,0,2,1,4,1,6.858565034791365,6.858565034791365,0,1,0,1,2,1,1,2,3
50,1,3,5,7,0,2,1,2,1,6.977281341630747,7.158513997329321,1,1,0,1,2,1,1,2,3
90,3,6,4,42,2,2,1,2,0,7.477604243197589,7.477604243197589,0,1,0,1,0,0,0,2,3
50,1,4,5,28,0,2,1,3,1,6.525029657843462,7.114769448366463,0,1,0,1,2,1,2,2,3
60,3,8,6,41,0,3,1,2,1,7.074963197966044,7.669495251007694,0,2,1,4,4,3,1,2,3
120,1,9,6,8,2,4,1,4,1,7.198183577101943,7.198183577101943,1,1,0,1,4,3,2,2,3
20,3,18,8,1,0,3,1,4,1,7.354362330421477,7.354362330421477,0,2,1,4,4,2,3,2,3
20,3,8,5,47,0,2,1,3,1,6.970730078143525,6.970730078143525,0,1,0,1,2,1,2,2,3
80,3,13,7,13,0,3,1,3,1,6.6895992691789665,7.295735072749282,0,1,1,3,5,3,2,2,3
60,3,22,8,14,2,3,1,4,1,7.170888478512505,7.790282380703483,0,2,1,3,4,1,2,2,3
60,3,13,6,4,0,3,3,4,1,6.52795791762255,7.352441100243583,0,2,1,4,5,3,2,2,3
160,4,18,6,0,0,3,3,4,1,6.416732282512326,7.1098794630722715,0,2,0,1,2,2,2,2,4
50,0,0,3,27,2,2,1,2,0,6.920671504248683,7.330405211844402,0,0,0,1,0,0,0,0,0
20,3,14,4,12,0,3,1,4,1,6.897704943128636,6.897704943128636,1,1,0,1,0,0,0,2,3
20,3,8,4,56,0,0,0,2,1,6.946975992135418,6.946975992135418,0,1,0,1,2,1,2,2,3
20,3,8,5,45,2,2,1,2,1,7.118826249062078,7.118826249062078,0,1,0,1,4,1,2,2,0
30,3,16,5,3,0,3,1,4,1,6.871091294610546,6.871091294610546,1,1,0,1,2,1,2,2,3
190,0,4,6,9,2,2,2,4,0,7.138866999945524,7.736743682453495,0,1,1,4,2,1,2,2,3
60,3,14,6,10,0,3,1,4,1,6.807934943699926,7.487733761436444,1,2,0,1,4,2,2,2,3
60,3,13,6,16,0,3,1,3,1,6.522092798170152,7.293017679772782,0,1,1,3,5,3,2,2,3
20,3,14,7,7,0,3,3,4,1,7.370230641807081,7.370230641807081,0,2,0,1,4,2,2,2,3
20,3,5,4,42,2,2,1,2,1,6.866933284461882,6.866933284461882,1,1,0,1,4,3,1,1,3
30,3,5,5,60,0,2,1,1,0,6.727431724850855,6.727431724850855,0,1,0,1,3,1,1,2,0
20,3,8,4,51,0,2,1,1,1,7.110696122978827,7.110696122978827,1,1,0,1,0,0,0,2,3
20,3,12,6,9,0,2,2,3,1,7.383989457978509,7.383989457978509,1,2,2,3,4,2,2,2,3
60,3,10,6,25,0,3,1,2,1,6.884486652042782,7.4570320891223805,0,2,1,3,4,3,2,2,3
90,3,10,5,30,0,0,0,2,1,7.336285660021297,7.336285660021297,0,1,0,1,4,1,2,2,1
20,3,14,7,1,0,3,1,4,1,7.111512116496157,7.111512116496157,0,2,0,1,4,2,3,2,3
50,1,0,7,57,0,2,1,4,1,7.111512116496157,7.505492274737424,0,1,2,3,2,1,1,2,3
60,4,18,8,4,2,4,1,4,1,6.959398512133975,7.596894438144544,0,2,1,4,4,2,2,2,3
30,1,4,4,12,1,1,1,3,1,6.953684210870537,6.953684210870537,0,1,0,1,2,1,1,0,3
20,1,4,5,58,0,2,1,4,1,6.670766320845874,6.670766320845874,0,1,0,1,2,1,1,2,4
50,1,0,5,2,0,2,1,2,0,6.904750769961838,7.324489979348532,0,0,0,1,0,0,0,0,3
20,3,12,6,33,2,3,1,4,1,7.519692404116539,7.519692404116539,0,1,1,3,4,2,2,2,3
50,3,5,6,34,0,2,1,3,1,7.103322062526113,7.5256399750415355,0,1,0,1,4,1,1,2,3
80,3,13,7,10,0,3,1,4,1,6.651571873589727,7.265429723253953,0,1,1,3,5,3,2,2,3
60,3,14,7,0,0,4,3,4,1,7.156176637480615,7.899524472032198,1,3,1,4,5,3,3,2,4
20,3,16,6,54,2,3,2,2,1,7.7226775164680035,7.7226775164680035,1,2,2,4,3,1,2,2,0
70,3,16,6,5,1,2,1,4,1,7.269616749608169,7.749322464660356,1,2,1,3,2,1,1,2,3
160,4,18,6,8,0,3,1,3,1,6.591673732008658,7.284820912568604,0,1,1,2,2,1,2,2,3
20,3,6,5,47,0,2,1,2,1,6.9957661563048505,6.9957661563048505,0,1,1,0,4,1,1,2,3
20,3,5,5,0,0,3,1,3,1,7.025538314638521,7.025538314638521,0,1,0,1,4,1,2,2,4
60,3,10,7,20,2,3,2,3,1,7.4377951216719325,8.07775756373692,1,2,2,3,4,1,3,2,3
60,3,14,6,0,0,3,1,4,1,6.590301048196686,7.283448228756631,0,2,1,4,4,3,2,2,4
80,3,17,6,37,1,2,4,4,1,6.895682697747868,6.895682697747868,1,1,2,3,4,1,2,2,3
50,1,0,4,57,0,2,1,3,1,6.648984550024776,7.023758954738443,0,1,0,1,2,1,1,1,3
20,3,8,6,50,2,2,1,3,1,6.984716320118266,6.984716320118266,0,1,0,1,4,1,1,2,3
120,3,10,6,15,0,3,1,4,1,7.089243155027514,7.089243155027514,0,2,0,1,4,2,2,2,3
20,3,12,6,11,0,3,1,2,1,7.368970402194793,7.368970402194793,0,1,1,3,4,1,2,2,3
190,1,0,6,24,0,2,3,3,0,6.253828811575473,6.625392368007956,1,1,0,1,0,0,0,0,3
120,3,11,6,31,0,3,1,2,1,6.86484777797086,6.86484777797086,0,1,1,3,4,2,2,2,3
45,1,4,5,57,0,2,1,4,1,6.733401891837359,6.733401891837359,0,1,1,3,0,0,0,0,3
60,3,8,6,40,0,2,1,2,1,6.492239835020471,7.206377291472252,0,1,1,2,4,2,2,2,3
20,3,8,5,15,0,2,1,2,1,6.959398512133975,6.959398512133975,0,3,0,1,1,2,2,2,0
60,3,8,7,40,0,2,1,4,1,7.103322062526113,7.676473646389156,0,2,2,4,4,3,2,2,3
60,3,13,6,9,0,3,1,4,1,6.92951677076365,7.627544390488503,1,2,1,3,5,2,2,2,3
20,3,8,5,5,0,2,1,3,1,7.190676034332207,7.190676034332207,1,2,0,1,2,1,2,2,3
20,3,19,8,7,0,4,1,4,1,7.16703787691222,7.16703787691222,1,2,0,1,4,3,2,2,3
20,3,6,5,13,0,2,1,3,1,7.450660796211539,7.450660796211539,0,1,1,3,4,2,2,2,3
20,3,12,7,38,2,2,1,3,1,7.427738840532894,7.427738840532894,0,1,1,4,4,1,2,2,3
20,3,8,5,40,0,2,1,2,1,7.101675971619444,7.101675971619444,0,1,1,2,4,2,1,2,3
90,3,9,7,17,0,2,1,3,1,7.580189417944541,7.580189417944541,0,1,0,1,1,1,3,2,2
60,3,14,8,8,0,3,2,4,1,6.911747300251674,7.524021415206125,0,2,2,3,4,3,3,2,3
60,3,14,6,12,0,3,1,4,1,6.833031732786201,7.475339236566737,1,2,0,1,4,2,2,2,3
20,3,8,4,39,0,2,1,2,1,6.761572768804055,6.761572768804055,0,1,1,0,0,0,0,2,3
20,3,14,7,1,0,3,3,4,1,7.458186157340487,7.458186157340487,1,2,0,1,4,3,2,2,3
50,3,8,5,58,0,2,1,1,1,6.813444599510896,7.233455418621439,0,1,0,1,2,1,2,2,3
20,3,14,7,10,0,3,4,4,1,7.313886831633462,7.313886831633462,1,2,0,1,4,2,2,2,3
90,1,6,5,43,0,2,1,2,1,7.454719949364001,7.454719949364001,1,1,0,1,2,1,2,2,0
160,1,5,6,0,0,3,1,4,1,6.877296071497429,7.443663683115591,0,2,0,1,2,1,2,2,3
30,1,3,5,16,0,2,1,2,1,6.774223886357614,6.774223886357614,1,1,0,1,2,1,1,2,3
60,3,13,7,9,0,3,1,4,1,6.784457062637643,7.618251097876695,0,2,1,4,5,3,2,2,3
20,3,10,7,3,0,3,1,4,1,6.984716320118266,6.984716320118266,1,2,0,1,0,0,0,2,3
50,1,3,5,56,0,3,1,3,1,6.79794041297493,7.203405521083095,0,1,0,1,2,1,1,2,3
20,3,14,5,32,0,2,3,2,1,6.876264611890766,6.876264611890766,0,1,0,1,4,1,2,2,3
20,3,21,8,0,2,4,4,4,1,7.444248649496705,7.444248649496705,1,2,1,4,4,2,3,2,4
60,3,12,6,35,0,2,1,3,1,7.00033446027523,7.597396320212795,0,1,1,4,4,2,2,2,3
20,3,17,6,33,1,3,4,3,1,7.132497551660044,7.132497551660044,1,1,1,4,4,2,2,2,3
30,1,4,6,56,0,2,1,2,1,7.090076835776092,7.090076835776092,0,1,0,1,2,1,1,2,2
50,3,5,6,58,0,2,1,1,0,6.349138991379798,6.999422467507961,0,1,0,1,0,0,0,0,3
20,3,8,5,56,2,0,0,2,1,6.946975992135418,6.946975992135418,0,1,0,1,2,1,2,2,3
60,3,19,8,0,0,4,1,4,1,6.651571873589727,7.584773077612199,0,3,1,4,5,3,3,2,4
60,4,18,7,5,0,3,1,4,1,6.898714534329988,7.5740450053721995,0,2,1,4,4,2,2,2,3
60,3,13,7,0,0,3,2,4,1,7.238496840894365,7.808729306744399,1,2,1,4,4,2,2,2,4
20,3,11,6,24,0,3,1,2,1,7.116394144093465,7.116394144093465,0,1,0,1,4,1,2,2,3
60,3,21,9,4,0,4,3,4,1,7.360103972989152,7.889084407035514,1,3,2,4,5,3,3,2,3
20,3,21,7,5,0,3,2,4,1,7.340186835320115,7.340186835320115,0,2,1,4,4,2,2,2,4
45,3,4,4,51,0,2,1,4,1,6.782192056006791,6.782192056006791,0,1,0,1,0,0,0,2,3
40,1,4,6,3,0,2,2,3,1,7.046647277848756,7.38770923908104,0,2,0,1,2,1,1,2,3
190,3,5,5,9,0,2,1,3,1,6.694562058521095,7.2115567333138015,1,1,0,1,0,0,0,2,3
20,3,17,5,16,2,2,1,4,1,7.532088143541722,7.532088143541722,1,1,3,4,4,3,1,2,3
60,3,21,8,0,0,4,1,4,1,7.383989457978509,7.6783263565068856,1,3,1,4,4,3,3,2,4
60,3,13,7,3,0,3,1,4,1,6.733401891837359,7.450079569807499,0,2,1,4,4,3,2,2,3
20,3,19,8,25,2,3,1,2,1,7.442492722794441,7.442492722794441,0,1,1,3,4,2,2,2,3
50,1,4,5,57,0,2,1,2,1,6.74993119378857,7.231287004327616,0,1,0,1,2,1,2,2,3
20,3,8,6,50,2,2,4,1,1,7.412160334945205,7.412160334945205,1,1,2,4,4,3,2,1,3
160,3,20,7,19,0,3,1,3,1,6.96979066990159,7.4770384723196965,1,2,1,3,4,2,2,2,3
20,3,8,6,47,0,2,1,2,1,7.216709486709457,7.216709486709457,1,1,1,3,4,1,2,2,3
20,3,19,6,22,0,3,1,2,1,7.409136443920128,7.409136443920128,1,1,1,3,4,3,2,2,3
20,3,5,6,6,0,2,3,2,1,7.67693714581808,7.67693714581808,1,2,1,4,4,1,2,2,3
60,3,17,6,18,0,3,1,2,1,7.059617628291383,7.630461261783627,0,1,1,3,4,1,2,2,3
50,3,6,5,48,0,2,1,4,1,7.132497551660044,7.560080465021827,1,2,1,4,4,1,2,2,3
20,3,20,9,0,2,4,1,4,1,7.711548979629146,7.711548979629146,1,3,1,4,4,3,3,2,4
30,1,4,5,1,0,2,1,2,1,6.875232087276577,6.875232087276577,0,1,0,1,2,1,2,0,3
160,4,18,6,7,0,3,1,4,1,6.645090969505644,7.329749689041512,0,2,1,3,2,1,2,2,3
70,3,16,7,56,0,1,1,3,1,6.803505257608338,7.496652438168283,0,1,1,4,2,1,1,2,3
20,3,5,5,1,2,0,0,4,1,7.200424892944957,7.200424892944957,0,1,1,4,4,2,1,2,3
50,1,4,7,5,0,3,1,4,1,7.216709486709457,7.641084249174914,0,2,0,1,2,1,2,0,3
50,3,3,5,15,0,1,1,3,1,6.841615476477592,7.132497551660044,0,1,0,1,4,1,2,2,3
75,1,4,10,13,0,2,2,4,1,7.325148957955575,8.190908881182514,0,3,2,3,2,1,3,2,3
80,3,9,7,18,0,3,3,4,1,7.104144092987527,7.104144092987527,1,2,0,1,4,1,2,2,3
50,3,4,5,22,0,1,1,4,1,6.694562058521095,7.412160334945205,0,1,0,1,2,1,1,0,3
90,3,10,5,30,0,3,3,2,1,7.1098794630722715,7.1098794630722715,2,1,2,3,2,1,2,2,1
120,3,20,8,6,0,4,3,4,1,7.373374309910049,7.373374309910049,1,3,1,4,4,3,2,2,3
70,3,16,8,13,2,3,1,2,1,7.3453648404168685,7.910957382845589,0,2,2,3,2,1,2,2,3
60,3,8,7,3,0,2,1,3,1,6.586171654854675,7.2991214627108,1,2,0,1,4,3,2,2,3
20,3,14,7,10,0,3,3,4,1,7.266128779556451,7.266128779556451,1,2,0,1,4,3,2,2,3
160,1,5,7,2,0,3,1,4,1,6.877296071497429,7.443663683115591,0,2,0,1,2,1,2,2,3
20,3,14,5,36,2,2,3,2,1,6.761572768804055,6.761572768804055,0,1,0,1,2,1,1,2,3
160,3,11,6,33,0,3,1,2,1,6.75110146893676,7.283448228756631,0,1,1,3,4,1,2,2,3
20,3,18,7,0,2,4,1,4,1,7.453561871643373,7.453561871643373,1,3,1,4,4,3,3,2,4
75,3,8,8,16,0,2,1,3,1,7.215239978730097,8.043020885298283,1,2,1,5,2,1,2,2,0
75,1,4,6,59,0,2,1,4,1,6.834108738813838,7.709308333385869,0,1,0,1,0,0,0,2,0
20,3,21,8,4,2,4,3,4,1,7.44600149832412,7.44600149832412,1,3,1,4,4,3,3,2,3
20,1,5,4,6,0,3,1,4,1,7.02197642307216,7.02197642307216,0,1,0,1,4,2,2,2,3
20,3,9,6,31,0,2,1,2,1,7.153833801578843,7.153833801578843,0,1,2,2,2,1,2,2,3
50,3,4,6,56,0,1,1,3,1,6.762729506931879,7.177782416195197,0,1,0,1,4,1,1,2,3
120,1,14,6,4,0,3,3,4,1,6.742880635791903,6.742880635791903,1,2,1,4,4,2,2,2,3
50,1,4,5,59,0,2,1,2,1,6.579251212010101,7.157735484249907,0,1,0,1,2,1,1,2,3
20,3,13,7,19,0,3,1,4,1,7.273786317844895,7.273786317844895,0,1,0,1,4,2,2,2,3
20,3,6,5,45,0,2,1,2,1,7.4360278163518485,7.4360278163518485,0,1,1,3,4,2,1,2,3
20,3,8,4,48,0,2,1,2,1,7.003065458786462,7.003065458786462,1,1,1,0,4,2,1,2,3
60,3,10,7,18,0,3,4,4,1,7.07326971745971,7.631431664576906,1,1,1,4,4,3,2,2,3
20,3,8,6,44,2,3,1,4,1,6.9957661563048505,6.9957661563048505,1,1,0,1,4,2,2,2,3
30,3,5,5,58,0,2,1,2,0,6.761572768804055,6.761572768804055,1,1,0,1,0,0,0,2,3
20,3,5,6,1,0,3,2,4,1,7.10002716662926,7.10002716662926,0,2,0,1,4,2,2,2,3
60,4,18,7,0,0,3,1,4,1,6.837332814685591,7.524021415206125,1,2,1,3,4,2,2,2,4
20,3,14,5,11,0,3,1,4,1,6.897704943128636,6.897704943128636,0,1,0,1,4,1,2,2,3
60,3,14,6,33,0,3,1,4,1,6.535241271013659,7.238496840894365,0,1,0,1,4,3,1,2,3
20,3,8,5,10,0,2,1,2,1,7.119635638017636,7.119635638017636,0,2,1,2,4,1,1,2,3
20,3,14,7,4,0,3,2,4,1,7.269616749608169,7.269616749608169,1,2,0,1,4,1,2,2,3
70,1,4,4,56,0,2,1,1,0,6.697034247666484,7.191429330036379,0,1,0,1,2,1,1,2,2
50,3,16,7,2,0,2,1,4,1,7.036148493750536,7.577633832602728,0,2,2,3,4,1,2,2,3
120,3,15,7,0,0,3,3,4,1,7.129297548929373,7.129297548929373,0,2,0,1,4,3,2,2,4
20,3,14,7,0,0,3,2,4,1,7.311886164077165,7.311886164077165,0,2,0,1,4,2,2,2,4
60,3,13,6,7,0,3,1,4,1,6.917705609835305,7.726212650507529,0,2,1,3,5,2,2,2,3
60,3,12,6,31,0,3,1,2,1,6.698268054115413,7.347299700743164,1,1,1,3,4,2,2,2,3
20,3,8,4,38,0,2,1,3,1,6.761572768804055,6.761572768804055,0,1,0,1,2,1,2,2,0
20,3,21,10,6,2,4,4,4,1,7.779885115070522,7.779885115070522,0,3,1,5,4,3,3,2,3
160,1,2,5,38,0,2,1,2,1,6.4457198193855785,7.171656822768514,0,1,0,1,2,1,1,2,0
60,3,22,7,12,0,3,1,4,1,7.101675971619444,7.832014180505469,0,2,1,3,4,2,3,2,0
160,1,2,6,38,0,2,1,2,1,6.180016653652572,6.894670039433482,0,1,0,1,2,1,1,2,3
20,3,6,5,43,0,2,1,2,1,6.815639990074331,6.815639990074331,0,1,1,2,2,1,1,2,3
120,3,15,7,3,0,3,3,4,1,7.349230824613334,7.349230824613334,0,2,1,3,4,3,2,2,3
20,3,8,6,51,2,2,1,2,1,7.085064293952548,7.085064293952548,1,1,0,1,4,2,1,2,3
60,3,22,8,13,0,3,1,4,1,7.306531398939505,7.935229539816907,1,3,1,3,4,3,3,2,3
160,1,2,6,34,0,2,1,2,1,6.180016653652572,6.894670039433482,0,1,1,0,4,1,1,2,3
20,3,14,5,34,0,2,3,2,1,6.795705775173514,6.795705775173514,1,1,0,1,4,1,1,2,3
60,3,13,6,8,0,3,1,4,1,6.756932389247553,7.580699752224563,1,2,2,3,5,3,2,2,3
160,1,2,6,37,0,2,1,2,1,6.180016653652572,6.894670039433482,0,1,0,1,2,1,1,2,3
20,3,14,7,6,0,3,3,4,1,7.254177846456518,7.254177846456518,0,2,0,1,4,2,2,2,3
60,3,10,7,7,0,3,1,4,1,6.921658184151129,7.463936604468925,0,2,0,1,4,2,2,2,3
20,3,21,8,0,2,4,1,4,1,7.434847875211999,7.434847875211999,0,2,0,1,4,3,3,2,4
50,3,5,6,60,0,2,1,2,1,6.682108597449809,7.304515946460155,0,1,1,4,2,1,1,2,3
20,4,18,8,2,0,3,3,4,1,7.356279876550748,7.356279876550748,1,2,0,1,4,2,2,2,3
30,1,4,5,10,0,2,1,3,1,6.763884908562435,6.763884908562435,0,2,0,1,0,0,0,2,3
50,1,4,5,56,0,2,1,3,0,6.790097235513905,7.272398392570047,0,1,0,1,4,1,1,2,3
160,3,10,6,29,0,3,1,2,1,6.439350371100098,7.104144092987527,0,1,1,3,4,2,1,2,3
60,3,10,7,8,0,3,1,4,1,7.108244139731541,7.6544432264701125,1,2,2,2,4,2,2,2,3
20,3,12,7,18,0,3,3,3,1,7.534762657037537,7.534762657037537,0,1,1,3,4,3,2,2,3
190,1,4,6,56,0,1,1,3,0,6.811244378601294,7.564238475170491,0,0,0,1,2,1,1,2,3
20,3,8,6,52,2,2,1,4,1,7.226209010100671,7.226209010100671,0,1,1,3,4,1,2,2,3
60,3,14,7,4,0,3,1,4,1,6.733401891837359,7.419380582918692,0,2,0,1,4,2,2,2,3
50,3,17,6,1,0,3,4,3,1,7.275172319452771,7.670428522190693,0,2,2,3,4,3,2,2,3
30,3,3,3,44,0,2,1,4,1,7.174724309836376,7.174724309836376,0,0,0,1,0,0,0,2,3
120,1,16,8,0,2,3,4,4,1,7.393263094763838,7.393263094763838,1,2,1,4,4,3,2,2,2
60,3,10,6,4,0,3,1,4,1,6.682108597449809,7.402451520818244,0,2,0,1,4,2,2,2,3
